pair,window_start,window_end,test_window_start,eg_pvalue,adf_pvalue,cointegrated,cointegration_broke
KO/PEP,2018-01-02,2019-01-02,2019-01-03,0.6659,0.4192,False,True
KO/PEP,2018-04-04,2019-04-03,2019-04-04,0.4943,0.2626,False,True
KO/PEP,2018-07-03,2019-07-03,2019-07-05,0.4093,0.1973,False,True
KO/PEP,2018-10-02,2019-10-02,2019-10-03,0.6099,0.3619,False,True
KO/PEP,2019-01-03,2020-01-02,2020-01-03,0.5496,0.3031,False,True
KO/PEP,2019-04-04,2020-04-02,2020-04-03,0.3004,0.1294,False,True
KO/PEP,2019-07-05,2020-07-02,2020-07-06,0.9548,0.8748,False,True
KO/PEP,2019-10-03,2020-10-01,2020-10-02,0.8512,0.6642,False,True
KO/PEP,2020-01-03,2020-12-31,2021-01-04,0.4146,0.19,False,True
KO/PEP,2020-04-03,2021-04-05,2021-04-06,0.1289,0.0422,False,True
KO/PEP,2020-07-06,2021-07-02,2021-07-06,0.1208,0.0395,False,True
KO/PEP,2020-10-02,2021-10-01,2021-10-04,0.3337,0.148,False,True
KO/PEP,2021-01-04,2021-12-31,2022-01-03,0.1945,0.0713,False,True
KO/PEP,2021-04-06,2022-04-01,2022-04-04,0.8856,0.7322,False,True
KO/PEP,2021-07-06,2022-07-05,2022-07-06,0.8703,0.6928,False,True
KO/PEP,2021-10-04,2022-10-03,2022-10-04,0.8288,0.6265,False,True
KO/PEP,2022-01-03,2023-01-03,2023-01-04,0.4693,0.2416,False,True
KO/PEP,2022-04-04,2023-04-04,2023-04-05,0.5547,0.3119,False,True
KO/PEP,2022-07-06,2023-07-06,2023-07-07,0.5535,0.3106,False,True
JPM/BAC,2018-01-02,2019-01-02,2019-01-03,0.1549,0.055,False,True
JPM/BAC,2018-04-04,2019-04-03,2019-04-04,0.5979,0.3528,False,True
JPM/BAC,2018-07-03,2019-07-03,2019-07-05,0.747,0.5197,False,True
JPM/BAC,2018-10-02,2019-10-02,2019-10-03,0.9176,0.7838,False,True
JPM/BAC,2019-01-03,2020-01-02,2020-01-03,0.5709,0.318,False,True
JPM/BAC,2019-04-04,2020-04-02,2020-04-03,0.4796,0.2139,False,True
JPM/BAC,2019-07-05,2020-07-02,2020-07-06,0.234,0.0879,False,True
JPM/BAC,2019-10-03,2020-10-01,2020-10-02,0.1794,0.0634,False,True
JPM/BAC,2020-01-03,2020-12-31,2021-01-04,0.6065,0.349,False,True
JPM/BAC,2020-04-03,2021-04-05,2021-04-06,0.7354,0.5118,False,True
JPM/BAC,2020-07-06,2021-07-02,2021-07-06,0.781,0.5662,False,True
JPM/BAC,2020-10-02,2021-10-01,2021-10-04,0.2346,0.0972,False,True
JPM/BAC,2021-01-04,2021-12-31,2022-01-03,0.0521,0.0153,False,True
JPM/BAC,2021-04-06,2022-04-01,2022-04-04,0.8661,0.6935,False,True
JPM/BAC,2021-07-06,2022-07-05,2022-07-06,0.8288,0.6265,False,True
JPM/BAC,2021-10-04,2022-10-03,2022-10-04,0.1795,0.0655,False,True
JPM/BAC,2022-01-03,2023-01-03,2023-01-04,0.9564,0.8757,False,True
JPM/BAC,2022-04-04,2023-04-04,2023-04-05,0.9512,0.86,False,True
JPM/BAC,2022-07-06,2023-07-06,2023-07-07,0.6965,0.456,False,True
XOM/CVX,2018-01-02,2019-01-02,2019-01-03,0.6219,0.3729,False,True
XOM/CVX,2018-04-04,2019-04-03,2019-04-04,0.6081,0.3601,False,True
XOM/CVX,2018-07-03,2019-07-03,2019-07-05,0.6792,0.4394,False,True
XOM/CVX,2018-10-02,2019-10-02,2019-10-03,0.6805,0.4345,False,True
XOM/CVX,2019-01-03,2020-01-02,2020-01-03,0.8654,0.688,False,True
XOM/CVX,2019-04-04,2020-04-02,2020-04-03,0.2023,0.0676,False,True
XOM/CVX,2019-07-05,2020-07-02,2020-07-06,0.0852,0.0238,False,True
XOM/CVX,2019-10-03,2020-10-01,2020-10-02,0.1098,0.0331,False,True
XOM/CVX,2020-01-03,2020-12-31,2021-01-04,0.1266,0.0402,False,True
XOM/CVX,2020-04-03,2021-04-05,2021-04-06,0.231,0.0875,False,True
XOM/CVX,2020-07-06,2021-07-02,2021-07-06,0.2643,0.1049,False,True
XOM/CVX,2020-10-02,2021-10-01,2021-10-04,0.1289,0.0403,False,True
XOM/CVX,2021-01-04,2021-12-31,2022-01-03,0.6194,0.381,False,True
XOM/CVX,2021-04-06,2022-04-01,2022-04-04,0.0066,0.0002,True,False
XOM/CVX,2021-07-06,2022-07-05,2022-07-06,0.6641,0.4194,False,True
XOM/CVX,2021-10-04,2022-10-03,2022-10-04,0.8334,0.636,False,True
XOM/CVX,2022-01-03,2023-01-03,2023-01-04,0.8618,0.68,False,True
XOM/CVX,2022-04-04,2023-04-04,2023-04-05,0.7338,0.5002,False,True
XOM/CVX,2022-07-06,2023-07-06,2023-07-07,0.8198,0.618,False,True
GLD/SLV,2018-01-02,2019-01-02,2019-01-03,0.7174,0.4787,False,True
GLD/SLV,2018-04-04,2019-04-03,2019-04-04,0.9399,0.8328,False,True
GLD/SLV,2018-07-03,2019-07-03,2019-07-05,1.0,0.9976,False,True
GLD/SLV,2018-10-02,2019-10-02,2019-10-03,0.6219,0.3688,False,True
GLD/SLV,2019-01-03,2020-01-02,2020-01-03,0.3078,0.1278,False,True
GLD/SLV,2019-04-04,2020-04-02,2020-04-03,1.0,0.9965,False,True
GLD/SLV,2019-07-05,2020-07-02,2020-07-06,0.8317,0.7163,False,True
GLD/SLV,2019-10-03,2020-10-01,2020-10-02,0.8389,0.6435,False,True
GLD/SLV,2020-01-03,2020-12-31,2021-01-04,0.3234,0.1428,False,True
GLD/SLV,2020-04-03,2021-04-05,2021-04-06,0.849,0.6636,False,True
GLD/SLV,2020-07-06,2021-07-02,2021-07-06,0.8011,0.5912,False,True
GLD/SLV,2020-10-02,2021-10-01,2021-10-04,0.5134,0.2728,False,True
GLD/SLV,2021-01-04,2021-12-31,2022-01-03,0.2106,0.0801,False,True
GLD/SLV,2021-04-06,2022-04-01,2022-04-04,0.7597,0.5381,False,True
GLD/SLV,2021-07-06,2022-07-05,2022-07-06,0.6451,0.3962,False,True
GLD/SLV,2021-10-04,2022-10-03,2022-10-04,0.6683,0.4231,False,True
GLD/SLV,2022-01-03,2023-01-03,2023-01-04,0.6185,0.371,False,True
GLD/SLV,2022-04-04,2023-04-04,2023-04-05,0.8303,0.6286,False,True
GLD/SLV,2022-07-06,2023-07-06,2023-07-07,0.7015,0.4574,False,True
